COMID,ELEV,CANOPY,SLOPE,PRECIP,CUMDRAINAG,S1_93_11,S30_2040D
23519851,1872.22,71.73,0.03079,913.31480,40.722,9.44000,10.68000
23519853,1920.73,77.82,0.03609,938.89900,34.947,9.29000,10.52000
23519857,1975.33,73.64,0.03771,949.87220,25.824,9.22000,10.45000
23519859,2042.38,68.11,0.04733,974.95570,19.958,9.10000,10.32000
23519875,1925.03,59.98,0.05985,1024.37000,33.079,8.60000,9.81000
23519877,1977.57,46.42,0.04216,1024.37000,30.226,8.77000,9.98000
23519943,2211.95,69.73,0.03392,932.61850,13.968,7.21000,8.39000
23519945,2277.98,73.41,0.04203,938.28810,9.196,6.96000,8.12000
23519947,2323.11,67.72,0.05210,937.18360,5.757,6.80000,7.96000
23519949,2504.29,51.31,0.16850,930.26670,1.602,5.43000,6.56000
23520005,2433.82,71.53,0.07530,866.68000,5.773,6.00000,7.14000
23520005,2358.84,75.66,0.07530,866.68000,5.773,6.19000,7.34000
23520005,2278.21,79.84,0.07530,866.68000,5.773,6.42000,7.58000
23520035,2068.09,41.54,0.03361,810.84990,30.165,7.55000,8.73000
23520041,2163.15,55.53,0.05355,812.15990,14.796,7.09000,8.26000
23520045,2210.25,71.18,0.01902,892.50600,9.474,7.05000,8.22000
23520047,2245.50,67.74,0.06900,909.51000,6.613,6.66000,7.82000
23520055,1856.11,63.14,0.04069,878.38210,24.130,10.49000,11.75000
23520055,1805.66,76.62,0.04069,878.38210,24.130,10.64000,11.91000
23520055,1785.99,69.72,0.04069,878.38210,24.130,10.82000,12.10000
23520057,1909.23,44.61,0.01669,862.04380,21.537,10.45000,11.71000
23520057,1892.35,67.37,0.01669,862.04380,21.537,10.48000,11.74000
23520127,2135.23,66.19,0.08466,966.78000,6.075,8.89000,10.11000
23520129,2410.22,33.75,0.07551,1093.50200,2.258,8.50000,9.71000
23520129,2317.09,51.41,0.07551,1093.50200,2.258,8.79000,10.01000
23520143,2289.21,55.39,0.06348,1042.62100,2.230,7.64000,8.82000
23520179,1836.98,27.45,0.03988,830.09000,5.813,11.33000,12.61000
23520181,1920.57,70.09,0.08716,830.09000,1.776,10.23000,11.48000
23520185,2045.18,62.62,0.12221,883.29920,0.886,9.40000,10.63000
23520257,2190.16,58.31,0.07936,1209.21700,8.434,7.12000,8.29000
23520257,2123.58,66.07,0.07936,1209.21700,8.434,7.21000,8.38000
23520257,2071.35,66.07,0.07936,1209.21700,8.434,7.17000,8.34000
23520259,1977.96,16.15,0.00595,1068.10600,16.720,11.85000,13.15000
23520261,2009.10,32.54,0.03598,1069.05600,4.178,9.74000,10.98000
23520261,1984.55,19.20,0.03598,1069.05600,4.178,9.96000,11.21000
23520263,2142.84,0.00,0.05857,1114.05500,2.462,9.39000,10.62000
23520263,2062.36,8.35,0.05857,1114.05500,2.462,9.58000,10.81000
23520265,2009.80,47.12,0.01494,1105.18000,15.198,11.57000,12.86000
23520265,1992.23,19.56,0.01494,1105.18000,15.198,12.08000,13.38000
23520267,2020.91,24.31,0.00588,1118.29400,13.565,11.26000,12.54000
23520267,2017.68,38.80,0.00588,1118.29400,13.565,11.40000,12.69000
23520269,2036.54,74.27,0.05825,1105.18000,5.395,9.94000,11.19000
23520271,2153.81,70.45,0.10567,1238.65000,5.031,8.75000,9.97000
23520275,2010.55,20.38,0.00994,1091.23000,17.101,10.85000,12.12000
23520275,2000.97,7.58,0.00994,1091.23000,17.101,11.19000,12.48000
23520277,2054.52,24.20,0.03119,1091.26000,15.378,10.21000,11.46000
23520277,2029.15,10.55,0.03119,1091.26000,15.378,10.53000,11.79000
23520279,2100.66,27.84,0.04246,1208.35100,10.247,9.99000,11.24000
23520281,2192.80,22.72,0.06280,1220.91100,7.573,9.69000,10.93000
23520285,2252.30,35.53,0.00430,1225.07200,3.053,9.53000,10.76000
23520287,2259.29,40.48,0.03116,1225.73500,1.199,9.20000,10.43000
23522587,2210.44,4.12,0.13790,1220.82000,1.103,8.60000,9.81000
23522589,1968.97,14.22,0.10570,1033.76600,1.925,9.97000,11.22000
23522593,2256.60,33.59,0.00836,1220.82000,1.880,9.85000,11.10000
23522605,1917.70,8.63,0.18317,980.97040,4.320,9.86000,11.10000
23522607,2253.94,72.38,0.18978,1055.72000,2.484,9.25000,10.48000
23522609,2234.69,47.10,0.15275,1231.31900,3.309,8.35000,9.55000
23522609,2072.18,16.40,0.15275,1231.31900,3.309,9.20000,10.42000
23522611,2312.73,63.53,0.07028,1044.11400,2.044,7.05000,8.21000
23522625,2454.07,16.81,0.14112,998.26690,1.159,6.66000,7.82000
23522629,2252.17,74.76,0.19758,1013.08900,1.608,7.63000,8.81000
23522631,2457.53,46.69,0.08362,914.79570,2.040,6.22000,7.37000
23522633,2110.29,35.13,0.13201,953.53000,3.094,9.39000,10.62000
23522635,2412.40,65.73,0.15310,1051.42000,1.016,5.88000,7.02000
23522637,2461.66,57.71,0.16435,936.97000,1.551,5.48000,6.61000
23522639,2161.92,39.22,0.29645,1032.49000,1.031,7.60000,8.78000
23522641,2282.87,55.63,0.05790,991.44210,4.708,7.65000,8.83000
23522641,2219.58,66.60,0.05790,991.44210,4.708,7.89000,9.08000
23522643,2310.70,61.50,0.16403,1019.09200,1.431,6.64000,7.80000
23522645,2033.11,38.73,0.08133,983.66470,2.923,9.70000,10.94000
23522645,1982.39,50.83,0.08133,983.66470,2.923,9.83000,11.07000
23522647,2036.39,46.91,0.23182,980.94380,2.382,8.78000,10.00000
23522649,2468.68,52.65,0.15206,936.97000,1.995,5.70000,6.83000
23522651,1999.63,49.32,0.03820,1105.18000,1.793,10.14000,11.39000
23522651,1987.57,33.06,0.03820,1105.18000,1.793,10.53000,11.79000
23522653,2507.20,29.20,0.20430,950.11420,3.046,5.42000,6.54000
23522653,2319.82,74.43,0.20430,950.11420,3.046,5.74000,6.87000
23522655,2573.76,64.44,0.09453,1093.48300,5.096,5.37000,6.49000
23522655,2475.71,70.81,0.09453,1093.48300,5.096,5.62000,6.75000
23522657,2477.72,62.83,0.19821,909.51000,1.245,5.02000,6.14000
23522657,2240.15,64.50,0.19821,909.51000,1.245,5.87000,7.00000
23522659,2110.41,72.98,0.07130,1187.47000,10.347,9.27000,10.50000
23522659,2055.95,79.26,0.07130,1187.47000,10.347,9.39000,10.62000
23522661,2130.59,59.17,0.09485,1059.77200,12.232,7.17000,8.34000
23522663,2561.84,33.60,0.12743,1026.76400,8.887,5.39000,6.51000
23522663,2382.27,72.66,0.12743,1026.76400,8.887,5.77000,6.90000
23522663,2246.32,71.62,0.12743,1026.76400,8.887,6.25000,7.39000
23522663,2176.83,80.30,0.12743,1026.76400,8.887,6.38000,7.53000
23522667,2351.37,63.40,0.17253,1100.79900,2.659,8.04000,9.24000
23522667,2146.78,82.02,0.17253,1100.79900,2.659,8.63000,9.84000
23522669,2266.00,74.34,0.10935,946.36570,5.818,8.60000,9.81000
23522669,2181.78,79.10,0.10935,946.36570,5.818,8.90000,10.12000
23522669,2119.69,60.50,0.10935,946.36570,5.818,9.33000,10.56000
23522673,2419.19,56.22,0.20123,1038.94500,2.604,5.67000,6.80000
23522673,2192.35,53.87,0.20123,1038.94500,2.604,6.46000,7.61000
23522677,2069.39,21.92,0.07096,1102.54800,3.181,9.80000,11.05000
23522677,1996.12,12.30,0.07096,1102.54800,3.181,10.44000,11.70000
23522475,2254.89,67.32,0.10489,1146.77400,2.131,7.37000,8.54000
23522477,2319.41,53.12,0.10913,939.29000,3.047,6.22000,7.37000
23522485,2165.52,6.74,0.20085,868.18000,3.726,6.55000,7.70000
23522485,1972.12,19.03,0.20085,868.18000,3.726,7.11000,8.28000
23522487,2062.18,8.06,0.10984,1050.64100,1.552,9.62000,10.86000
23522491,2381.02,55.18,0.15332,1195.87800,1.384,6.66000,7.82000
23522501,2385.85,50.93,0.20071,1251.93500,0.616,6.20000,7.35000
23522503,2242.45,12.98,0.06279,1258.75000,5.375,9.06000,10.29000
23522503,2192.06,30.63,0.06279,1258.75000,5.375,9.17000,10.40000
23522503,2132.06,18.56,0.06279,1258.75000,5.375,9.51000,10.75000
23522513,2360.75,10.55,0.37060,1086.71000,0.798,4.03000,5.12000
23522515,2453.60,39.61,0.25293,939.29000,1.061,4.83000,5.93000
23522517,2231.53,79.34,0.11785,939.15030,7.348,7.00000,8.17000
23522517,2155.93,87.74,0.11785,939.15030,7.348,7.16000,8.33000
23522517,2079.37,78.08,0.11785,939.15030,7.348,7.44000,8.62000
23522517,1953.78,83.03,0.11785,939.15030,7.348,7.78000,8.97000
23522519,1847.79,42.94,0.25410,919.39000,1.189,9.57000,10.81000
23522521,2353.20,47.21,0.28961,1086.71000,0.895,4.41000,5.51000
23522523,2261.50,63.36,0.15923,1147.00600,1.661,7.52000,8.70000
23522525,2427.60,59.60,0.20064,906.28480,1.655,5.00000,6.11000
23522531,2502.44,70.13,0.09538,879.02950,3.754,5.78000,6.92000
23522531,2405.30,70.67,0.09538,879.02950,3.754,6.09000,7.23000
23522535,2329.56,79.97,0.09791,1015.66400,7.105,6.56000,7.72000
23522535,2216.89,55.32,0.09791,1015.66400,7.105,7.09000,8.26000
23522535,2125.40,73.79,0.09791,1015.66400,7.105,7.24000,8.41000
23522535,2072.82,81.94,0.09791,1015.66400,7.105,7.31000,8.49000
23522541,2337.13,55.11,0.04138,968.91240,2.219,7.52000,8.70000
23522543,2271.47,30.14,0.07757,1220.82000,1.048,9.60000,10.84000
23522557,2291.78,81.38,0.13547,819.07990,3.858,5.97000,7.11000
23522565,2357.20,66.20,0.08785,891.23580,5.527,6.39000,7.54000
23522565,2294.06,53.24,0.08785,891.23580,5.527,6.65000,7.81000
23522567,2158.45,0.00,0.11311,1167.43500,1.280,8.93000,10.16000
23522679,2398.18,35.56,0.13869,982.61470,1.919,7.26000,8.43000
23522679,2201.17,70.83,0.13869,982.61470,1.919,7.70000,8.88000
23522681,2404.19,51.97,0.08564,1208.70100,3.321,9.92000,11.16000
23522683,2442.08,45.27,0.11147,1128.62900,2.570,6.93000,8.10000
23522683,2300.37,50.95,0.11147,1128.62900,2.570,7.44000,8.62000
23522685,1987.90,39.22,0.00736,1072.84100,3.455,10.94000,12.22000
23522687,2307.54,75.02,0.17357,1192.85100,1.736,8.79000,10.01000
23522693,2337.27,51.97,0.08335,994.14510,2.229,13.27000,14.60000
23522699,2324.00,56.41,0.04865,1062.97200,4.629,9.92000,11.16000
23522703,2081.90,45.78,0.12204,1143.44200,2.125,8.38000,9.58000
23522703,1990.27,80.04,0.12204,1143.44200,2.125,8.31000,9.51000
23522717,1977.16,29.41,0.00546,927.17570,6.868,11.57000,12.86000
23522721,2184.19,4.44,0.04498,1160.70200,6.779,10.85000,12.12000
23522721,2156.25,3.91,0.04498,1160.70200,6.779,10.94000,12.21000
23522721,2116.33,0.00,0.04498,1160.70200,6.779,11.10000,12.38000
23522723,2069.02,0.00,0.03451,1034.85000,10.218,11.53000,12.83000
23522723,2030.66,23.13,0.03451,1034.85000,10.218,11.49000,12.78000
23522723,1993.13,34.11,0.03451,1034.85000,10.218,11.53000,12.82000
23522731,2264.01,24.68,0.20222,972.28000,0.829,7.17000,8.34000
23522749,2345.63,22.60,0.14659,972.28000,1.167,7.46000,8.64000
23522771,2158.07,79.05,0.10056,969.87590,2.618,8.07000,9.26000
23522775,2425.37,35.94,0.07708,972.06400,4.743,7.22000,8.39000
23522775,2335.51,19.90,0.07708,972.06400,4.743,7.76000,8.95000
23522775,2242.85,26.80,0.07708,972.06400,4.743,8.15000,9.35000
23522775,2159.84,84.90,0.07708,972.06400,4.743,8.16000,9.35000
23522775,2111.87,80.00,0.07708,972.06400,4.743,8.52000,9.73000
23522781,2243.67,33.70,0.08666,938.30730,2.151,8.35000,9.55000
23522781,2146.28,75.71,0.08666,938.30730,2.151,8.41000,9.62000
23523143,2163.67,19.37,0.09968,960.55910,6.730,9.32000,10.55000
23523143,1986.99,52.91,0.09968,960.55910,6.730,9.78000,11.03000
23523143,1885.08,0.00,0.09968,960.55910,6.730,10.63000,11.90000
23523143,1829.57,14.82,0.09968,960.55910,6.730,10.78000,12.05000
23523145,1894.71,34.54,0.06521,833.05010,3.113,10.77000,12.04000
23523147,1990.30,80.92,0.09997,919.39000,7.649,9.83000,11.08000
23523147,1893.34,81.85,0.09997,919.39000,7.649,10.25000,11.51000
23523147,1784.90,77.41,0.09997,919.39000,7.649,10.75000,12.02000
23523151,2072.43,52.16,0.19419,919.77340,3.394,9.04000,10.26000
23523151,1867.32,41.91,0.19419,919.77340,3.394,9.91000,11.15000
23523153,1990.40,19.41,0.21894,919.47100,1.292,9.40000,10.63000
23523157,2495.86,38.43,0.15578,1186.87600,2.818,6.66000,7.82000
23523157,2338.77,63.33,0.15578,1186.87600,2.818,7.15000,8.33000
23523159,2395.02,68.98,0.09228,1042.80800,8.668,7.12000,8.29000
23523159,2309.91,26.95,0.09228,1042.80800,8.668,7.66000,8.85000
23523159,2206.71,61.83,0.09228,1042.80800,8.668,7.65000,8.83000
23523159,2114.31,82.00,0.09228,1042.80800,8.668,7.69000,8.87000
23523159,2007.99,70.77,0.09228,1042.80800,8.668,7.99000,9.19000
23523159,1928.70,78.71,0.09228,1042.80800,8.668,8.03000,9.23000
23523161,2348.57,73.47,0.13455,1040.15300,5.203,6.42000,7.57000
23523161,2228.12,73.56,0.13455,1040.15300,5.203,6.81000,7.97000
23523161,2143.78,79.96,0.13455,1040.15300,5.203,7.06000,8.23000
23523163,2206.68,72.74,0.15404,959.23790,6.673,7.05000,8.22000
23523163,2072.57,50.90,0.15404,959.23790,6.673,7.66000,8.84000
23523165,2071.02,68.57,0.26074,949.76000,3.443,6.22000,7.37000
23523167,2090.57,59.24,0.32933,1012.60900,1.993,5.46000,6.59000
23523169,2380.55,56.07,0.15270,1035.02800,9.007,5.68000,6.81000
23523169,2227.47,43.53,0.15270,1035.02800,9.007,6.28000,7.43000
23523169,2018.99,58.79,0.15270,1035.02800,9.007,6.91000,8.08000
23523169,1913.26,42.32,0.15270,1035.02800,9.007,7.39000,8.57000
23523171,2608.53,58.52,0.17895,966.54590,6.422,4.95000,6.07000
23523171,2507.04,30.33,0.17895,966.54590,6.422,5.47000,6.60000
23523171,2213.71,19.00,0.17895,966.54590,6.422,6.59000,7.75000
23523171,2045.91,48.33,0.17895,966.54590,6.422,6.93000,8.09000
23523173,2349.08,35.61,0.17677,1028.89900,7.377,6.78000,7.94000
23523173,2211.30,54.76,0.17677,1028.89900,7.377,7.09000,8.26000
23523173,2028.80,75.83,0.17677,1028.89900,7.377,7.56000,8.74000
23523175,2113.84,50.72,0.06146,809.78000,9.729,7.55000,8.73000
23523177,2355.53,75.50,0.14713,937.56860,3.090,5.80000,6.94000
23523183,1879.99,50.78,0.04854,1036.06000,32.541,11.02000,12.30000
23523183,1841.12,8.00,0.04854,1036.06000,32.541,11.55000,12.84000
23523185,2094.34,39.83,0.26329,1032.49000,1.542,8.21000,9.41000
23523203,2342.31,31.11,0.30138,1097.48100,0.563,5.72000,6.85000
23523207,1997.65,82.81,0.16071,1180.72800,9.942,9.07000,10.30000
23551484,1946.66,49.89,0.02054,1073.72900,11.539,9.09000,10.31000
23551486,2094.07,57.13,0.09222,1047.61500,6.681,8.05000,9.25000
23551486,2008.63,66.88,0.09222,1047.61500,6.681,8.27000,9.48000
23552088,2148.59,24.16,0.14732,1332.48800,3.447,8.05000,9.24000
23552088,2044.41,18.81,0.14732,1332.48800,3.447,8.39000,9.60000
23553666,1976.30,33.52,0.15368,1061.38600,1.418,7.91000,9.11000
23553670,2140.95,48.32,0.09725,1173.68800,5.830,7.82000,9.01000
23553670,2053.36,51.85,0.09725,1173.68800,5.830,8.08000,9.28000
23553670,1960.83,61.33,0.09725,1173.68800,5.830,8.31000,9.51000
23478371,1929.08,43.76,0.04082,479.48130,55.087,11.08000,12.36000
23478441,1778.84,31.75,0.06376,318.07290,57.798,10.79000,12.07000
23478445,1868.39,47.00,0.03447,432.26000,50.156,10.08000,11.33000
23478801,2273.36,23.79,0.01792,831.94230,54.022,8.07000,9.27000
23478805,2331.06,67.88,0.05455,811.81000,12.810,7.40000,8.58000
23478811,2278.07,59.00,0.03421,754.35820,33.461,7.68000,8.87000
23478817,2410.42,49.00,0.03859,712.24000,13.776,7.13000,8.30000
23499379,1804.29,2.69,0.01671,226.79000,13.998,10.59000,11.86000
23499381,1790.73,0.00,0.03985,226.79000,14.164,10.54000,11.80000
23499391,1820.66,0.00,0.00000,288.15050,13.729,10.60000,11.87000
23499033,2129.79,45.15,0.01783,636.88720,52.773,8.79000,10.01000
23499039,2217.54,63.33,0.04246,652.33670,37.996,8.15000,9.35000
23499741,1954.57,0.88,0.06680,513.48580,17.135,11.83000,13.13000
23499743,2064.74,1.57,0.10557,464.12990,4.376,10.83000,12.10000
23513048,2041.19,37.60,0.01469,325.68000,72.152,11.80000,13.10000
23513056,2076.91,4.47,0.03094,325.80210,60.522,11.55000,12.84000
23514222,2031.09,1.17,0.01151,317.49380,75.425,11.70000,13.00000
23514238,2049.53,0.00,0.00000,416.07610,0.672,11.41000,12.70000
23514244,2086.51,0.00,0.04658,504.32000,5.526,10.86000,12.13000
23514272,2073.94,0.00,0.01351,337.96010,12.710,10.94000,12.21000
23514418,2036.98,3.22,0.00738,303.69000,70.747,11.64000,12.94000
23519269,1803.47,14.85,0.00000,1038.82600,940.263,13.98000,15.34000
23519273,1806.10,8.08,0.00000,1032.49000,935.736,14.05000,15.41000
23519277,1818.87,67.17,0.01213,1032.49000,898.325,13.54000,14.88000
23519279,1827.48,56.35,0.01643,1032.49000,896.514,13.59000,14.93000
23519353,1986.61,20.96,0.00564,1099.68600,49.380,12.71000,14.04000
23519553,2216.96,53.10,0.01419,1019.26000,16.844,8.49000,9.70000
23519659,2070.20,79.30,0.05691,1055.72000,9.426,9.05000,10.28000
23519873,1855.60,46.17,0.04978,890.11160,42.683,9.06000,10.28000
23520037,2108.86,59.24,0.03020,813.04230,26.292,7.39000,8.57000
23520059,1923.92,7.25,0.01292,941.54000,14.106,10.34000,11.60000
23520141,2242.00,66.72,0.02891,1020.80700,4.599,8.24000,9.45000
23520273,1997.33,19.37,0.00688,1091.23000,20.575,11.29000,12.58000
23522577,1973.10,85.18,0.05871,1185.87400,21.250,9.84000,11.09000
23522579,2317.36,73.06,0.11211,1187.47000,2.878,9.57000,10.81000
23522585,2320.07,59.03,0.11254,1187.47000,0.237,7.65000,8.84000
23522591,2417.84,72.36,0.18666,1051.44500,1.594,6.89000,8.06000
23522613,2413.90,71.19,0.12663,1189.00700,1.620,8.91000,10.13000
23522619,2420.76,71.58,0.06021,1055.72000,0.998,11.13000,12.41000
23522621,2498.68,64.54,0.05793,1051.42000,0.623,7.41000,8.59000
23522623,2707.33,7.91,0.24020,1086.71000,0.039,3.79000,4.87000
23522627,2466.42,64.53,0.16920,973.43210,0.456,9.81000,11.05000
23522671,2498.29,42.30,0.12511,1195.03000,0.005,6.84000,8.00000
23522675,2443.81,48.57,0.01682,1194.84200,1.778,13.46000,14.80000
23522481,2286.93,40.59,0.11497,867.00000,5.286,6.58000,7.73000
23522527,2178.07,80.78,0.12624,1178.64000,4.888,7.96000,9.15000
23522533,2192.33,78.26,0.21915,1187.47000,3.682,8.80000,10.02000
23522553,2089.95,54.33,0.08619,1055.72000,4.095,10.08000,11.33000
23522561,1928.10,72.15,0.02530,1069.19100,28.447,10.77000,12.04000
23522569,1957.97,90.04,0.03220,1129.59100,24.567,10.19000,11.44000
23551482,1923.49,50.84,0.01863,987.70000,13.794,9.27000,10.50000
23553668,2010.57,73.42,0.09732,1078.54600,1.777,7.98000,9.18000
23478287,1527.07,36.21,0.01442,203.05990,383.228,14.40000,15.77000
23478287,1514.18,36.21,0.01442,203.05990,383.228,14.39000,15.76000
23478287,1497.16,38.93,0.01442,203.05990,383.228,14.40000,15.77000
23478287,1481.97,19.08,0.01442,203.05990,383.228,14.58000,15.95000
23478291,1539.03,22.97,0.01213,210.16340,374.139,14.53000,15.90000
23478309,1573.04,13.03,0.01233,271.93440,317.610,14.56000,15.94000
23478309,1559.06,31.43,0.01233,271.93440,317.610,14.39000,15.76000
23478351,1825.14,47.20,0.03555,547.46780,82.408,12.00000,13.30000
23478351,1798.40,50.66,0.03555,547.46780,82.408,12.07000,13.38000
23478357,2097.81,42.51,0.05166,583.56760,49.843,12.29000,13.60000
23478357,1989.64,62.55,0.05166,583.56760,49.843,12.25000,13.56000
23478357,1945.63,54.96,0.05166,583.56760,49.843,12.05000,13.36000
23478365,2594.24,55.05,0.07860,796.11060,8.527,7.60000,8.79000
23478365,2502.70,73.60,0.07860,796.11060,8.527,7.74000,8.93000
23478365,2456.27,52.49,0.07860,796.11060,8.527,7.97000,9.17000
23478365,2389.35,66.79,0.07860,796.11060,8.527,7.96000,9.15000
23478365,2300.96,81.47,0.07860,796.11060,8.527,8.20000,9.40000
23478367,1619.72,20.68,0.03276,265.58000,73.132,14.01000,15.37000
23478387,1480.15,11.23,0.00330,200.69000,4889.610,16.07000,17.48000
23478389,1476.85,2.73,0.00396,200.69000,4913.628,16.20000,17.62000
23478415,1487.45,19.51,0.00161,192.95380,4846.305,15.87000,17.28000
23478819,2466.28,46.75,0.02003,784.83920,11.624,6.86000,8.02000
23478819,2446.43,61.20,0.02003,784.83920,11.624,6.87000,8.04000
23478819,2421.93,40.43,0.02003,784.83920,11.624,7.15000,8.32000
23478823,2474.40,29.53,0.01595,823.79420,6.172,6.88000,8.05000
23480115,1561.29,0.00,0.05278,217.61170,19.630,13.19000,14.53000
23480663,1710.37,5.49,0.05782,380.65710,12.725,12.39000,13.70000
23480663,1665.12,2.74,0.05782,380.65710,12.725,12.74000,14.06000
23480665,2240.29,3.45,0.18717,500.09740,3.427,9.07000,10.29000
23480665,2032.11,0.00,0.18717,500.09740,3.427,9.89000,11.14000
23480667,2223.33,51.23,0.20026,577.49110,2.439,8.12000,9.32000
23480667,2002.66,4.75,0.20026,577.49110,2.439,9.31000,10.54000
23480669,2429.45,57.95,0.10976,647.11140,4.684,7.51000,8.69000
23480669,2339.60,73.36,0.10976,647.11140,4.684,7.86000,9.05000
23480669,2222.93,71.82,0.10976,647.11140,4.684,8.46000,9.67000
23480671,1891.31,15.03,0.08810,451.68030,4.148,10.95000,12.23000
23480671,1799.09,12.86,0.08810,451.68030,4.148,11.44000,12.73000
23480673,2011.61,59.78,0.22517,540.74330,1.226,8.79000,10.00000
23480673,1816.44,25.89,0.22517,540.74330,1.226,9.70000,10.94000
23480677,2556.62,54.73,0.10744,767.50300,3.480,6.70000,7.86000
23480677,2441.08,52.32,0.10744,767.50300,3.480,7.34000,8.52000
23480679,1482.68,0.00,0.00449,195.32210,22.761,13.99000,15.34000
23480679,1479.29,0.00,0.00449,195.32210,22.761,14.02000,15.38000
23480683,2164.50,7.18,0.15832,455.21790,3.487,9.59000,10.83000
23480683,2013.41,1.23,0.15832,455.21790,3.487,10.22000,11.48000
23480685,2121.83,45.60,0.17672,644.60470,5.382,8.67000,9.88000
23480689,2351.06,30.58,0.12187,645.19750,4.389,8.14000,9.34000
23480691,2113.97,32.60,0.14087,602.67880,12.467,9.14000,10.36000
23480693,1488.56,0.00,0.00526,244.41530,17.949,13.80000,15.15000
23480695,2564.47,67.23,0.04253,860.36000,2.412,6.18000,7.32000
23480697,2245.80,47.55,0.15133,490.45340,6.031,8.67000,9.89000
23480697,2056.33,8.02,0.15133,490.45340,6.031,9.73000,10.97000
23480697,1928.51,13.09,0.15133,490.45340,6.031,10.26000,11.52000
23480697,1828.84,19.75,0.15133,490.45340,6.031,10.71000,11.98000
23480699,2443.94,67.48,0.08621,711.60830,6.642,7.33000,8.51000
23480699,2361.50,62.83,0.08621,711.60830,6.642,7.95000,9.15000
23480699,2263.92,17.56,0.08621,711.60830,6.642,8.86000,10.08000
23480701,2060.73,56.40,0.29997,614.09000,1.571,7.98000,9.17000
23480705,1961.65,0.00,0.08829,389.19480,4.067,11.09000,12.37000
23480705,1857.15,0.00,0.08829,389.19480,4.067,11.62000,12.91000
23480705,1780.34,0.00,0.08829,389.19480,4.067,12.05000,13.36000
23480705,1722.49,0.00,0.08829,389.19480,4.067,12.43000,13.75000
23480711,2545.72,61.83,0.12353,824.67650,1.782,5.67000,6.80000
23480715,2189.09,0.98,0.14064,584.86280,1.945,9.22000,10.44000
23480715,2017.91,2.36,0.14064,584.86280,1.945,9.82000,11.07000
23480727,2642.45,44.72,0.09237,777.32850,7.635,6.94000,8.10000
23480727,2560.92,61.97,0.09237,777.32850,7.635,7.06000,8.23000
23480727,2481.45,69.43,0.09237,777.32850,7.635,7.20000,8.37000
23480727,2404.84,69.60,0.09237,777.32850,7.635,7.41000,8.59000
23480727,2317.56,67.80,0.09237,777.32850,7.635,7.62000,8.81000
23484349,1812.29,0.00,0.11342,463.44570,9.133,11.35000,12.63000
23484349,1679.59,0.00,0.11342,463.44570,9.133,11.88000,13.18000
23484351,1925.19,0.00,0.09354,320.66260,7.801,11.21000,12.49000
23484351,1853.17,0.00,0.09354,320.66260,7.801,11.50000,12.79000
23484351,1796.86,1.05,0.09354,320.66260,7.801,11.73000,13.03000
23484351,1674.10,0.00,0.09354,320.66260,7.801,12.23000,13.54000
23484351,1585.05,0.00,0.09354,320.66260,7.801,12.57000,13.89000
23484351,1515.75,0.00,0.09354,320.66260,7.801,12.86000,14.19000
23484751,2483.54,73.62,0.07670,758.15440,6.171,6.33000,7.48000
23484751,2418.11,77.96,0.07670,758.15440,6.171,6.52000,7.67000
23498795,1552.75,2.84,0.00724,199.45380,1256.311,13.93000,15.29000
23498795,1547.14,10.05,0.00724,199.45380,1256.311,13.99000,15.34000
23498795,1538.20,10.19,0.00724,199.45380,1256.311,14.08000,15.44000
23498799,1530.33,8.73,0.00603,216.49560,1336.939,14.35000,15.72000
23498799,1525.03,14.44,0.00603,216.49560,1336.939,14.30000,15.67000
23498801,1486.76,16.87,0.00386,188.99140,1356.590,14.20000,15.56000
23498801,1483.19,14.03,0.00386,188.99140,1356.590,14.22000,15.58000
23498803,1517.35,17.09,0.00534,194.84370,1340.426,14.28000,15.65000
23498803,1512.52,11.65,0.00534,194.84370,1340.426,14.27000,15.63000
23498803,1506.39,3.53,0.00534,194.84370,1340.426,14.32000,15.69000
23498803,1500.84,1.86,0.00534,194.84370,1340.426,14.33000,15.69000
23498803,1495.99,13.05,0.00534,194.84370,1340.426,14.23000,15.60000
23498803,1490.76,10.25,0.00534,194.84370,1340.426,14.24000,15.60000
23499357,2809.77,35.37,0.16409,664.34160,1.456,5.20000,6.32000
23499359,2332.90,67.96,0.32307,619.84390,3.854,5.24000,6.36000
23499359,2087.84,79.23,0.32307,619.84390,3.854,6.00000,7.14000
23499367,1580.29,0.00,0.02080,209.58630,54.478,14.41000,15.78000
23499367,1557.79,0.00,0.02080,209.58630,54.478,14.64000,16.01000
23499367,1537.07,0.00,0.02080,209.58630,54.478,14.46000,15.83000
23499369,2810.41,21.36,0.11807,740.34700,6.843,5.85000,6.98000
23499369,2696.64,49.26,0.11807,740.34700,6.843,6.05000,7.19000
23499369,2616.67,36.49,0.11807,740.34700,6.843,6.43000,7.58000
23499369,2431.50,43.65,0.11807,740.34700,6.843,7.05000,8.22000
23499373,2653.44,22.31,0.21684,662.38420,5.609,5.52000,6.65000
23499373,2466.52,67.20,0.21684,662.38420,5.609,5.94000,7.08000
23499375,2676.98,5.28,0.20858,677.61700,3.558,5.27000,6.39000
23499375,2486.91,50.82,0.20858,677.61700,3.558,5.60000,6.73000
23499375,2227.67,41.44,0.20858,677.61700,3.558,6.57000,7.72000
23499377,1994.07,32.65,0.12301,445.47040,13.016,8.20000,9.40000
23499383,2676.15,49.23,0.10753,762.47520,8.614,6.10000,7.24000
